cluster_id,cone_type,x,y,observations
0,left,33.33762480327419,18.30425791734455,162
1,left,42.83796667369778,4.965696213246791,162
2,left,40.876209181924295,9.7809016170133,176
3,left,43.48774397845845,0.00378018335629541,150
4,left,37.66353962383881,14.254523798090762,166
5,left,27.958626303702435,21.819122179599997,162
6,left,21.754978135851292,24.691417482967893,132
7,left,14.845254917181899,26.75867275726376,116
8,left,7.536290312217825,28.059883507438926,108
9,left,0.01987903434567264,28.535328419539788,107
10,left,-7.558255482034136,28.059703545827855,104
11,left,-14.87158430882846,26.806112857916887,102
12,left,-21.7594093473669,24.647749184937474,104
13,left,-27.966427267646704,21.781703845641914,108
14,left,-33.30608864305759,18.309532286627636,112
15,left,-37.672417387619745,14.267398600389157,120
16,left,-40.88593533231541,9.738463345822872,128
17,left,-42.83896469616525,4.92721122316392,138
18,left,-43.49669471903733,0.022042386871859474,150
19,left,-42.828924508782386,-4.940764124028923,162
20,left,-40.889001272140426,-9.751523298609852,176
21,left,-37.68884381904318,-14.245897176853173,166
22,left,-33.35395997679858,-18.328097332179222,162
23,left,-27.942314110239188,-21.823354806615036,162
24,left,-21.789865627981122,-24.685926988081903,132
25,left,-14.925853766149773,-26.749545844792404,116
26,left,-7.545929934213134,-28.08207332024978,108
27,left,-0.019828636301202372,-28.529654314127818,106
28,left,7.535035935702899,-28.10803965880562,104
29,left,14.883186868038672,-26.768772385506917,102
30,left,21.725979513986974,-24.692410559116823,104
31,left,27.96055704647085,-21.818272492438723,108
32,left,33.31692337838016,-18.3402423688401,112
33,left,37.69397874685876,-14.239494547479449,120
34,left,40.89954181145189,-9.739798904176725,128
35,left,42.826608794078176,-4.942117745351591,138
36,right,34.32330779707994,7.350815565959616,152
37,right,31.60217028788765,10.722962209920334,143
38,right,35.92720000501216,3.744449133489198,162
39,right,27.9362375596917,13.822554129197842,138
40,right,23.481993896394368,16.438363449933536,138
41,right,18.2465960555773,18.586894307647714,140
42,right,12.465822261312377,20.185176238864067,142
43,right,6.334483692852322,21.150761968386846,131
44,right,-0.006890450181704508,21.49821182613868,122
45,right,-6.365368116016123,21.161668916063128,116
46,right,-12.46823045174337,20.185199604650695,116
47,right,-18.266007163593077,18.615301792268557,118
48,right,-23.469854674619388,16.45912718175772,120
49,right,-27.952769328142004,13.801797260620393,129
50,right,-31.612267466018,10.749233832919053,138
51,right,-34.27980903694326,7.381065100822277,154
52,right,-35.95821145171152,3.7253069867296866,170
53,right,-36.49393137707621,0.0033196503326855,168
54,right,-35.94364566881566,-3.742336013754454,162
55,right,-34.31492782128686,-7.365167881312911,152
56,right,-31.62667595402365,-10.750184130795054,142
57,right,-27.959966837256754,-13.818118000521013,138
58,right,-23.4817688750795,-16.458471656160373,138
59,right,-18.260151261444136,-18.621090523598337,140
60,right,-12.471807861064224,-20.21143780071153,142
61,right,-6.312506231748756,-21.164004997159395,130
62,right,0.003750283026004156,-21.50174270203169,122
63,right,6.317557480650145,-21.176681472140128,116
64,right,12.497186602044358,-20.18933685770108,116
65,right,18.25457421217947,-18.628408582723075,118
66,right,23.452682469361275,-16.494860399734122,120
67,right,27.95844843350342,-13.841461769058022,128
68,right,31.617643323744574,-10.759400970963537,138
69,right,34.31092733172476,-7.371875348859637,153
70,right,35.9649736164306,-3.7387014464779336,170
71,right,36.47145610014169,0.03860154367890573,166
